Splice,TCGA_P,TCGA_q
SE_1_-_17915_17742_17606_17368_WASH7P,0.5717641736529455,0.8680763265927204
SE_1_-_24738_18366_18268_18061_WASH7P,0.5877624042480043,0.8772188111242543
SE_1_-_24738_18379_18268_18061_WASH7P,0.6334212892556623,0.8955309692951151
SE_1_+_787490_788051_788146_788771_LOC643837,0.6312713295583895,0.8952702639459317
SE_1_-_1167272_1164326_1163848_1159348_SDF4,0.7926452722055479,0.9440980261914697
SE_1_-_1198726_1197770_1197649_1192690_UBE2J2,0.2442714212551564,0.7192121428603098
SE_1_-_1203242_1200210_1200163_1198766_UBE2J2,0.23773961709723326,0.7127541038037777
SE_1_-_1203242_1201670_1201478_1198766_UBE2J2,0.4463308944805213,0.8054372875166081
SE_1_-_1209046_1203372_1203113_1198766_UBE2J2,0.5340162920847414,0.8523398540132778
SE_1_-_1209046_1203372_1203242_1198766_UBE2J2,0.2776065187373458,0.7516699977475644
SE_1_-_1230827_1230196_1230098_1230008_ACAP3,0.04049125638151975,0.32769250224730395
SE_1_-_1247973_1247881_1247820_1247748_CPSF3L,0.23101904897193756,0.705095819964858
SE_1_-_1259961_1256473_1256376_1250998_CPSF3L,0.6722359535227773,0.9074819179523967
SE_1_-_1259961_1258667_1258561_1256473_CPSF3L,0.26808770005457705,0.7431625296901272
SE_1_-_1325610_1324123_1324006_1323445_CCNL2,0.008783603754230917,0.14249650351856719
SE_1_-_1328776_1328183_1328059_1326245_CCNL2,0.07645791566981953,0.4462063642641844
SE_1_-_1328776_1328183_1328170_1326245_CCNL2,0.08800819644542436,0.47057191554456534
SE_1_+_1560281_1560371_1560565_1560666_MIB2,0.0066135272566292865,0.12241992673900014
SE_1_+_1560808_1560926_1561033_1562030_MIB2,0.31458128680892894,0.7530789157296208
SE_1_+_1560808_1560938_1561033_1562030_MIB2,0.11608949799793508,0.5374374368197878
SE_1_+_1561033_1562030_1562134_1562217_MIB2,0.6358770571651301,0.8960540069496933
SE_1_-_1647785_1643839_1643703_1641079_CDK11B/CDK11A,0.03866768397795508,0.3191126097068864
SE_1_-_1647785_1643866_1643703_1641079_CDK11B/CDK11A,0.06959685087591208,0.42798756368178015
SE_1_-_1654147_1654073_1654027_1653150_CDK11B,0.001793553082233814,0.05627519162690217
SE_1_+_2106752_2113271_2113353_2116022_AX747530/PRKCZ,0.9212929814993146,0.9806515864587488
SE_1_-_2125078_2124414_2124284_2121220_C1orf86,0.001303427868915571,0.04470405312577999
SE_1_+_3542079_3542277_3542453_3544064_TPRG1L,0.9176967763227497,0.9798360690439064
SE_1_-_6294946_6294571_6294465_6293703_ICMT,0.4620374698778521,0.8154376803598264
SE_1_-_6354924_6342856_6342784_6341346_ACOT7,0.03227455513608797,0.2904709962247917
SE_1_-_6704618_6700117_6699962_6698424_DNAJC11,0.4400639526582806,0.8018459481988229
SE_1_-_6740968_6738527_6738454_6727870_DNAJC11,0.43639531224435746,0.7991170030946143
SE_1_+_8025485_8029405_8029464_8030954_PARK7,0.10683183570282631,0.5148212639502022
SE_1_-_8923294_8923004_8922946_8921488_ENO1,0.09782668995807708,0.49133599105378983
SE_1_-_8923950_8923402_8923294_8921488_ENO1,0.011612690049183303,0.16831032113162755
SE_1_+_9613863_9616240_9616315_9627342_SLC25A33,0.366668402954596,0.7578742179291961
SE_1_-_9801152_9797612_9797556_9796100_CLSTN1,0.98161560485096655,0.9971863067281199
SE_1_-_9833330_9816568_9816539_9815367_CLSTN1,0.799533420247195,0.9450912018881406
SE_1_-_10002682_10001427_10001225_9996685_LZIC,6.680581732663076e-7,1.2716487328124165e-4
SE_1_+_10057389_10064151_10064365_10067628_RBP7,0.758938081430893,0.9301246730359726
SE_1_+_10460629_10463128_10463193_10464218_PGD,0.44929158815925296,0.8072820247552434
SE_1_+_10494747_10500404_10500470_10511434_APITD1/APITD1-CORT,0.0483267356212437,0.36240292024308884
SE_1_+_10555378_10596270_10596354_10659295_PEX14,0.15754449719974148,0.6066472361828211
SE_1_+_10596354_10659295_10659423_10678389_PEX14,0.6529388629319256,0.9004123102566435
SE_1_+_11074022_11076901_11077064_11078790_TARDBP,0.693088164347033,0.914395851609781
SE_1_-_11134288_11134065_11133991_11132228_EXOSC10,0.6683497218856904,0.9063431695151354
SE_1_+_11718421_11718590_11718685_11718793_FBXO44,0.49304210348638167,0.8324524346354117
SE_1_+_11796292_11805860_11805894_11807497_AGTRAP,0.2821315952082076,0.7530789157296208
SE_1_+_11805894_11806184_11806280_11807497_AGTRAP,0.3713284777850383,0.7580802918320115
SE_1_+_11994912_12004579_12004719_12008033_PLOD1,0.9692506643383778,0.9953157862799359
SE_1_-_16274786_16273618_16273430_16272789_ZBTB17,0.7481740026389481,0.9263794539522701
SE_1_-_16299534_16274992_16274786_16273618_ZBTB17,0.8091357706294267,0.9478355585723242
SE_1_-_16302478_16299620_16299534_16274992_ZBTB17,0.5373799589719033,0.8537232593431782
SE_1_-_16641664_16636852_16636731_16632414_FBXO42,0.7743160945892094,0.9363117116255544
